Search Number,Elapsed Time (s)
1,1.577543
2,2.800041
3,2.226520
4,1.783672
5,2.220176
6,1.663114
7,2.651275
8,3.202929
9,0.983963
10,1.880807
11,2.083729
12,2.714023
13,2.617734
14,1.898441
15,2.436779
16,1.285804
17,1.632625
18,0.614529
19,1.286370
20,1.728568
21,2.420135
22,2.172599
23,2.135149
24,2.406454
25,2.405478
26,1.643870
27,2.426389
28,1.741532
29,2.444134
30,2.023942
31,1.969382
32,2.458736
33,1.812560
34,2.354771
35,2.064858
36,1.955100
37,1.466442
38,2.170050
39,1.167172
40,1.860546
41,2.119977
42,1.640414
43,1.485857
44,1.878161
45,1.910051
46,1.915202
47,1.491160
48,1.994974
49,1.367072
50,1.555884
51,1.146182
52,2.003711
53,2.655087
54,2.706921
55,2.451212
56,1.808924
57,1.868910
58,1.380453
59,2.383124
60,3.104282
61,2.107996
62,2.495938
63,2.713684
64,1.847566
65,1.987113
66,2.146132
67,2.489435
68,2.859219
69,2.256731
70,2.604648
71,2.722261
72,2.048470
73,1.385745
74,0.893057
75,2.112331
76,1.055214
77,1.781919
78,2.356048
79,1.651624
80,1.830139
81,0.858128
82,2.417920
83,3.269958
84,2.247974
85,1.829067
86,2.732016
87,1.990873
88,1.717038
89,1.814836
90,2.095959
91,1.789449
92,2.014790
93,2.247200
94,1.968741
95,2.778353
96,2.584018
97,1.625418
98,1.723963
99,1.839719
100,1.903591
