Search Number,Elapsed Time (s)
1,0.091864
2,0.000060
3,0.000051
4,0.000052
5,0.000053
6,0.000055
7,0.000056
8,0.000044
9,0.000043
10,0.000044
11,0.000044
12,0.000044
13,0.000044
14,0.000044
15,0.000043
16,0.000043
17,0.000043
18,0.000043
19,0.000044
20,0.000042
21,0.000043
22,0.000044
23,0.000044
24,0.000044
25,0.000043
26,0.000044
27,0.000056
28,0.000046
29,0.000044
30,0.000043
31,0.000042
32,0.000043
33,0.000043
34,0.000042
35,0.000045
36,0.000043
37,0.000044
38,0.000043
39,0.000042
40,0.000044
41,0.000043
42,0.000043
43,0.000043
44,0.000044
45,0.000043
46,0.000043
47,0.000043
48,0.000042
49,0.000043
50,0.000043
51,0.000039
52,0.000043
53,0.000043
54,0.000045
55,0.000045
56,0.000043
57,0.000043
58,0.000045
59,0.000043
60,0.000044
61,0.000043
62,0.000044
63,0.000043
64,0.000043
65,0.000043
66,0.000043
67,0.000042
68,0.000044
69,0.000044
70,0.000044
71,0.000043
72,0.000043
73,0.000043
74,0.000044
75,0.000044
76,0.000044
77,0.000042
78,0.000043
79,0.000044
80,0.000043
81,0.000045
82,0.000042
83,0.000045
84,0.000043
85,0.000043
86,0.000043
87,0.000044
88,0.000044
89,0.000043
90,0.000044
91,0.000044
92,0.000044
93,0.000044
94,0.000044
95,0.000045
96,0.000043
97,0.000044
98,0.000043
99,0.000044
100,0.000044
101,0.000044
102,0.000043
103,0.000046
104,0.000043
105,0.000044
106,0.000044
107,0.000043
108,0.000043
109,0.000043
110,0.000043
111,0.000042
112,0.000044
113,0.000044
114,0.000044
115,0.000044
116,0.000043
117,0.000044
118,0.000768
119,0.000045
120,0.000041
121,0.000043
122,0.000040
123,0.000040
124,0.000040
125,0.000041
126,0.000040
127,0.000044
128,0.000041
129,0.000043
130,0.000043
131,0.000042
132,0.000043
133,0.000042
134,0.000044
135,0.000043
136,0.000043
137,0.000042
138,0.000042
139,0.000043
140,0.000042
141,0.000043
142,0.000042
143,0.000042
144,0.000044
145,0.000043
146,0.000043
147,0.000043
148,0.000042
149,0.000044
150,0.000049
151,0.000044
152,0.000042
153,0.000043
154,0.000043
155,0.000044
156,0.000043
157,0.000045
158,0.000045
159,0.000043
160,0.000042
161,0.000043
162,0.000042
163,0.000043
164,0.000043
165,0.000044
166,0.000042
167,0.000042
168,0.000042
169,0.000043
170,0.000043
171,0.000043
172,0.000062
173,0.000045
174,0.000043
175,0.000044
176,0.000043
177,0.000043
178,0.000042
179,0.000043
180,0.000043
181,0.000042
182,0.000043
183,0.000039
184,0.000043
185,0.000043
186,0.000043
187,0.000043
188,0.000043
189,0.000042
190,0.000043
191,0.000043
192,0.000044
193,0.000043
194,0.000043
195,0.000042
196,0.000043
197,0.000043
198,0.000042
199,0.000043
200,0.000043
201,0.000043
202,0.000043
203,0.000043
204,0.000042
205,0.000043
206,0.000042
207,0.000043
208,0.000043
209,0.000043
210,0.000043
211,0.000043
212,0.000042
213,0.000043
214,0.000042
215,0.000042
216,0.000041
217,0.000038
218,0.000041
219,0.000041
220,0.000041
221,0.000041
222,0.000041
223,0.000040
224,0.000040
225,0.000039
226,0.000040
227,0.000035
228,0.000035
229,0.000035
230,0.000036
231,0.000035
232,0.000036
233,0.000040
234,0.000039
235,0.000040
236,0.000038
237,0.000041
238,0.000040
239,0.000131
240,0.000044
241,0.000042
242,0.000042
243,0.000039
244,0.000042
245,0.000040
246,0.000041
247,0.000040
248,0.000041
249,0.000042
250,0.000035
251,0.000296
252,0.000048
253,0.000048
254,0.000042
255,0.000040
256,0.000043
257,0.000042
258,0.000042
259,0.000038
260,0.000041
261,0.000041
262,0.000039
263,0.000041
264,0.000041
265,0.000041
266,0.000040
267,0.000040
268,0.000041
269,0.000063
270,0.000061
271,0.000046
272,0.000105
273,0.000099
274,0.000106
275,0.000101
276,0.000100
277,0.000099
278,0.000096
279,0.000045
280,0.000074
281,0.000092
282,0.000045
283,0.000043
284,0.000072
285,0.000044
286,0.000085
287,0.000069
288,0.000069
289,0.000066
290,0.000067
291,0.000072
292,0.000069
293,0.000067
294,0.000073
295,0.000072
296,0.000067
297,0.000083
298,0.000072
299,0.000068
300,0.000043
301,0.000069
302,0.000071
303,0.000067
304,0.000066
305,0.000083
306,0.000045
307,0.000063
308,0.000044
309,0.000061
310,0.000042
311,0.000042
312,0.000043
313,0.000043
314,0.000044
315,0.000043
316,0.000041
317,0.000043
318,0.000041
319,0.000043
320,0.000042
321,0.000043
322,0.000042
323,0.000043
324,0.000045
325,0.000042
326,0.000043
327,0.000043
328,0.000042
329,0.000043
330,0.000041
331,0.000043
332,0.000042
333,0.000043
334,0.000043
335,0.000042
336,0.000043
337,0.000042
338,0.000042
339,0.000043
340,0.000061
341,0.000044
342,0.000043
343,0.000043
344,0.000042
345,0.000043
