Search Number,Elapsed Time (s)
1,2.088524
2,2.176967
3,2.011585
4,1.948871
5,1.084817
6,2.322109
7,2.442214
8,2.202430
9,2.606011
10,1.276729
11,1.703412
12,1.899001
13,2.365301
14,2.681995
15,0.510760
16,2.107448
17,2.470263
18,2.664782
19,1.328517
20,1.664741
21,1.785457
22,1.607638
23,1.715175
24,2.134206
25,2.020937
26,1.632932
27,1.700973
28,1.787627
29,2.366849
30,1.500376
31,0.930568
32,1.843480
33,1.790037
34,1.531781
35,1.846964
36,2.474696
37,2.049645
38,2.512631
39,1.459745
40,2.164186
41,1.607747
42,1.849303
43,1.476807
44,2.259032
45,2.277731
46,1.534748
47,0.907063
48,1.401800
49,1.001731
50,2.343778
51,1.531948
52,1.528008
53,2.083686
54,1.656003
55,2.184162
56,1.867317
57,2.038749
58,1.570402
59,2.291639
60,2.842268
61,1.601448
62,2.397936
63,2.244902
64,2.234715
65,2.634255
66,3.176714
67,2.370479
68,2.316875
69,2.705775
70,2.813327
71,2.054951
72,1.238066
73,2.507691
74,2.129274
75,2.270366
76,1.502733
77,1.606654
78,2.634935
79,2.244937
80,1.570549
81,2.745044
82,2.455005
83,2.050740
84,2.180794
85,1.704026
86,2.101011
87,2.287341
88,0.956014
89,2.717146
90,2.082444
91,2.153036
92,1.563954
93,2.527160
94,2.036613
95,1.723086
96,1.898785
97,2.232509
98,1.611188
99,1.369748
100,1.535017
101,1.803787
102,2.972912
103,2.659950
104,2.808749
105,2.169088
106,1.604238
107,2.190256
108,1.818600
109,3.266119
110,1.794957
111,0.780798
112,2.897455
113,1.951148
114,2.109100
115,0.702491
116,1.101390
117,2.700167
118,2.745183
119,1.978659
120,2.287076
121,2.255216
122,2.034952
123,2.350757
124,1.295003
125,2.169858
126,3.139457
127,2.441627
128,2.338844
129,2.205480
130,1.658659
131,1.283861
132,1.975989
133,1.466276
134,1.828369
135,2.502789
136,1.102559
137,2.390781
138,2.275924
139,1.801244
140,1.318566
141,2.316889
142,1.972337
143,2.377480
144,1.677821
145,2.311737
146,2.131989
147,2.886339
148,1.775916
149,1.697345
150,1.201154
151,0.986159
152,2.229187
153,0.559827
154,2.876655
155,1.537702
156,2.073909
157,2.993616
158,1.914697
159,2.356132
160,1.969605
161,2.140946
162,2.026408
163,1.675680
164,1.806069
165,2.631904
166,2.379747
167,1.568558
168,2.481649
169,2.751000
170,1.658259
171,2.144060
172,1.223674
173,2.497954
174,2.107957
175,2.813762
176,2.573722
177,2.146221
178,2.292062
179,2.575849
180,2.139484
181,2.209630
182,2.252212
183,2.149505
184,2.376927
185,2.722989
186,1.638539
187,2.076046
188,2.035310
189,2.629135
190,2.326597
191,1.156869
192,1.980685
193,2.217046
194,1.757801
195,1.804466
196,1.598995
197,1.838130
198,2.451729
199,1.523540
200,2.600025
201,2.618845
202,2.322597
203,1.289541
204,1.698169
205,2.488174
206,1.898483
207,2.220961
208,1.368832
209,2.250022
210,2.597444
211,2.056419
212,1.307741
213,1.829556
214,1.523626
215,1.548604
216,1.607966
217,2.624241
218,2.688058
219,1.946861
220,2.760820
221,1.778882
222,1.331940
223,1.145440
224,3.263366
225,1.923872
226,2.449908
227,2.300228
228,1.941885
229,1.570607
230,1.783243
231,2.442267
232,2.573444
233,1.729137
234,2.220920
235,1.670644
236,1.454131
237,2.101645
238,0.999886
239,2.622139
240,2.967595
241,2.635234
242,2.400481
243,1.986560
244,1.884274
245,1.381718
246,1.424430
247,2.763533
248,0.759256
249,1.365721
250,2.535595
251,1.515001
252,1.355389
253,1.418338
254,0.971403
255,2.700127
256,2.343029
257,0.628369
258,2.364111
259,1.967658
260,1.617767
261,1.969709
262,2.494367
263,2.301403
264,1.760140
265,2.272091
266,3.307866
267,1.763914
268,1.831205
269,2.426795
270,1.803121
271,1.741795
272,2.210477
273,2.056268
274,2.111428
275,2.075412
276,2.363763
277,1.405940
278,2.131952
279,2.305419
280,2.287770
281,2.815980
282,1.842250
283,2.260988
284,1.029763
285,1.758858
286,1.867751
287,1.776003
288,2.538066
289,2.338485
290,2.251252
291,1.581890
292,1.558104
293,1.802147
294,2.227582
295,1.762433
296,1.591515
297,2.800462
298,1.397202
299,2.183038
300,1.885460
301,2.244613
302,2.458411
303,2.305040
304,1.462093
305,1.226129
306,2.349952
307,2.099370
308,1.134090
309,2.841723
310,1.752895
311,2.087131
312,2.800460
313,1.143555
314,1.415010
315,0.928207
316,1.597262
317,1.985774
318,2.648466
319,1.629429
320,2.660686
321,2.591213
322,2.478828
323,2.425150
324,1.834099
325,1.532688
326,1.149611
327,2.586979
328,1.796865
329,1.618701
330,1.276655
331,2.304312
332,2.091726
333,2.484294
334,2.428810
335,2.727216
336,2.458111
337,2.459461
338,1.977741
339,2.288260
340,2.003547
341,2.390952
342,1.892071
343,2.196818
344,1.344166
345,2.580203
346,2.578779
347,1.029052
348,2.075247
349,2.924699
350,2.393188
351,1.969832
352,1.595033
353,1.655535
354,2.786281
355,2.523826
356,2.115730
357,2.318962
358,2.369929
359,2.283058
360,2.901211
361,2.607694
362,2.523320
363,1.418427
364,1.620527
365,2.219232
366,2.217950
367,2.178486
368,2.870536
369,2.009439
370,0.922778
371,1.887305
372,2.055207
373,2.896234
374,1.895618
375,1.731216
376,2.517180
377,1.487597
378,1.899923
379,2.103825
380,1.919742
381,1.795508
382,2.220553
383,1.429990
384,1.447896
385,2.115561
386,2.277521
387,1.701061
388,1.624010
389,2.511468
390,2.340013
391,2.280332
392,1.685016
393,2.489273
394,1.879317
395,2.208619
396,1.405567
397,1.889157
398,2.013748
399,1.421081
400,2.235919
401,2.295511
402,1.538855
403,1.768327
404,1.581342
405,1.513329
406,0.857278
407,2.330372
408,1.897931
409,1.561123
410,2.693197
411,2.591334
412,1.884990
413,1.448609
414,1.919339
415,2.450691
416,1.531289
417,1.525922
418,1.113892
419,2.622734
420,2.341146
421,2.457162
422,2.183072
423,2.056494
424,1.928510
425,1.625920
426,1.260518
427,1.849320
428,1.711566
429,2.094210
430,1.624893
431,1.786083
432,1.581172
433,1.536882
434,2.851108
435,1.922075
436,2.029438
437,2.602877
438,1.849314
439,1.398529
440,2.318264
441,2.404195
442,2.854223
443,2.357016
444,1.949854
445,2.543040
446,1.236505
447,2.294283
448,2.088854
449,2.393093
450,0.726691
451,1.789545
452,2.349569
453,2.345333
454,2.378049
455,1.009136
456,1.976496
457,1.871436
458,2.235634
459,2.316719
460,2.038041
461,1.582047
462,2.247303
463,1.282763
464,2.749592
465,2.190939
466,1.669145
467,2.194821
468,1.857594
469,2.111367
470,1.971990
471,1.906926
472,1.624441
473,2.934253
474,1.793600
475,1.893044
476,1.940168
477,1.504619
478,2.410324
479,1.929004
480,2.209817
481,2.411933
482,1.453196
483,2.512860
484,2.392470
485,1.436946
486,1.644412
487,2.239897
488,2.338354
489,1.510766
490,1.998223
491,2.393452
492,2.406878
493,2.059154
494,2.027634
495,2.498411
496,1.440668
497,2.604593
498,3.139591
499,2.078395
500,2.727489
501,2.308963
502,1.452097
503,1.108009
504,1.211993
505,2.700009
506,3.067935
507,2.796046
508,2.085608
509,1.856309
510,2.832857
511,2.243186
512,1.601850
513,1.765819
514,1.818021
515,1.550313
516,2.449121
517,2.285689
518,1.908554
519,1.025775
520,2.072012
521,1.465285
522,2.092391
523,1.050438
524,2.209548
525,2.734616
526,2.432230
527,1.959680
528,2.769655
529,1.822411
530,2.021878
531,2.193630
532,1.441872
533,2.451083
534,1.242228
535,2.159395
536,2.057354
537,1.595551
538,2.359556
539,1.675356
540,1.980799
541,2.637855
542,1.779557
543,1.333653
544,2.192183
545,2.648763
546,2.264150
547,1.936341
548,1.501520
549,2.325906
550,1.836060
551,1.668955
552,2.257623
553,1.509400
554,2.040329
555,2.120059
556,1.979403
557,2.088219
558,2.707724
559,2.360035
560,1.468969
561,2.490040
562,1.585590
563,1.771190
564,2.082960
565,1.809623
566,1.931377
567,2.185720
568,2.258594
569,1.702015
570,1.979806
571,1.565165
572,2.783932
573,2.868394
574,1.978640
575,2.045816
576,1.722161
577,1.241431
578,2.079849
579,2.471771
580,2.290884
581,2.789872
582,1.975296
583,2.291941
584,2.039978
585,2.152140
586,3.031272
587,1.826509
588,1.630146
589,2.099788
590,2.453406
591,1.814744
592,1.784245
593,1.462041
594,2.104061
595,1.991504
596,1.980704
597,2.407412
598,2.550372
599,2.000890
600,2.676524
601,2.458847
602,1.429546
603,1.797732
604,1.792578
605,1.963080
606,2.646814
607,3.370958
608,0.735849
