Search Number,Elapsed Time (s)
1,0.029556
2,0.000066
3,0.000063
4,0.000063
5,0.000060
6,0.000062
7,0.000059
8,0.000058
9,0.000046
10,0.000043
11,0.000041
12,0.000044
13,0.000043
14,0.000043
15,0.000044
16,0.000044
17,0.000043
18,0.000044
19,0.000044
20,0.000044
21,0.000045
22,0.000044
23,0.000045
24,0.000043
25,0.000044
26,0.000050
27,0.000045
28,0.000044
29,0.000044
30,0.000043
31,0.000043
32,0.000044
33,0.000044
34,0.000042
35,0.000054
36,0.000046
37,0.000053
38,0.000054
39,0.000054
40,0.000054
41,0.000053
42,0.000054
43,0.000054
44,0.000052
45,0.000053
46,0.000054
47,0.000053
48,0.000055
49,0.000050
50,0.000054
51,0.000053
52,0.000054
53,0.000054
54,0.000054
55,0.000054
56,0.000054
57,0.000053
58,0.000053
59,0.000053
60,0.000053
61,0.000046
62,0.000053
63,0.000053
64,0.000053
65,0.000053
66,0.000046
67,0.000046
68,0.000045
69,0.000046
70,0.000045
71,0.000047
72,0.000043
73,0.000044
74,0.000044
75,0.000047
76,0.000055
77,0.000052
78,0.000044
79,0.000045
80,0.000053
81,0.000052
82,0.000043
83,0.000045
84,0.000052
85,0.000052
86,0.000045
87,0.000053
88,0.000045
89,0.000044
90,0.000045
91,0.000054
92,0.000052
93,0.000054
94,0.000055
95,0.000045
96,0.000046
97,0.000044
98,0.000046
99,0.000049
100,0.000087
101,0.000047
102,0.000121
103,0.000049
104,0.000055
105,0.000054
106,0.000053
107,0.000044
108,0.000046
109,0.000054
110,0.000053
111,0.000053
112,0.000052
113,0.000043
114,0.000044
115,0.000045
116,0.000054
117,0.000052
118,0.000053
119,0.000054
120,0.000043
121,0.000045
122,0.000044
123,0.000053
124,0.000053
125,0.000053
126,0.000051
127,0.000043
128,0.000045
129,0.000044
130,0.000054
131,0.000053
132,0.000053
133,0.000043
134,0.000045
135,0.000044
136,0.000044
137,0.000044
138,0.000045
139,0.000054
140,0.000053
141,0.000053
142,0.000042
143,0.000056
144,0.000042
145,0.000043
146,0.000044
147,0.000044
148,0.000046
149,0.000050
150,0.000046
151,0.000062
152,0.000046
153,0.000043
154,0.000044
155,0.000044
156,0.000053
157,0.000052
158,0.000052
159,0.000054
160,0.000044
161,0.000044
162,0.000044
163,0.000043
164,0.000035
165,0.000032
166,0.000032
167,0.000033
168,0.000032
169,0.000032
170,0.000032
171,0.000036
172,0.000034
173,0.000032
174,0.000034
175,0.000032
176,0.000032
177,0.000033
178,0.000034
179,0.000034
180,0.000035
181,0.000042
182,0.000044
183,0.000045
184,0.000044
185,0.000044
186,0.000043
187,0.000043
188,0.000044
189,0.000045
190,0.000043
191,0.000043
192,0.000079
193,0.000046
194,0.000039
195,0.000037
196,0.000042
197,0.000044
198,0.000045
199,0.000044
